# num alat[Bohr] energy[Ry]
-5 10.16310 -22.67686900
-4 10.18310 -22.67716063
-3 10.20310 -22.67738613
-2 10.22310 -22.67755096
-1 10.24310 -22.67765352
0 10.26310 -22.67769527
1 10.28310 -22.67767811
2 10.30310 -22.67760274
3 10.32310 -22.67746927
4 10.34310 -22.67728328
5 10.36310 -22.67704081
6 10.38310 -22.67674345
7 10.40310 -22.67639374
8 10.42310 -22.67599198
9 10.44310 -22.67553942
10 10.46310 -22.67503774
11 10.48310 -22.67448609
12 10.50310 -22.67388837
13 10.52310 -22.67324291
14 10.54310 -22.67255175
15 10.56310 -22.67181539
