# num alat[Bohr] energy[Ry]
-5 10.1773 -22.67729044
-4 10.1873 -22.67742053
-3 10.1973 -22.67753525
-2 10.2073 -22.67763425
-1 10.2173 -22.67771759
0 10.2273 -22.67778563
1 10.2373 -22.67783818
2 10.2473 -22.67787561
3 10.2573 -22.67789801
4 10.2673 -22.67790558
5 10.2773 -22.67789813
6 10.2873 -22.67787641
7 10.2973 -22.67783987
8 10.3073 -22.67778946
9 10.3173 -22.67772413
10 10.3273 -22.67764741
11 10.3373 -22.67755459
12 10.3473 -22.67744772
13 10.3573 -22.67732789
14 10.3673 -22.67719383
15 10.3773 -22.67704696
