# num alat[Bohr] energy[Ry]
-5 10.1773 -22.66245794
-4 10.1873 -22.66262738
-3 10.1973 -22.66277984
-2 10.2073 -22.66291563
-1 10.2173 -22.66303550
0 10.2273 -22.66314000
1 10.2373 -22.66322893
2 10.2473 -22.66330190
3 10.2573 -22.66335911
4 10.2673 -22.66340141
5 10.2773 -22.66342780
6 10.2873 -22.66343990
7 10.2973 -22.66343692
8 10.3073 -22.66341983
9 10.3173 -22.66338740
10 10.3273 -22.66334218
11 10.3373 -22.66328100
12 10.3473 -22.66320687
13 10.3573 -22.66311698
14 10.3673 -22.66301375
15 10.3773 -22.66289665
